iter	Passed	Remaining
0	0	59
1	1	49
2	1	45
3	1	45
4	2	45
5	2	45
6	3	44
7	3	42
8	4	41
9	4	40
10	4	39
11	5	38
12	5	37
13	5	36
14	6	36
15	6	35
16	7	34
17	7	34
18	7	33
19	8	33
20	8	32
21	8	31
22	9	31
23	9	30
24	10	30
25	10	30
26	11	29
27	11	29
28	11	28
29	12	28
30	12	27
31	12	27
32	13	26
33	13	26
34	13	25
35	14	25
36	14	25
37	15	24
38	15	24
39	15	23
40	16	23
41	16	22
42	16	22
43	17	21
44	17	21
45	18	21
46	18	20
47	18	20
48	19	20
49	19	19
50	20	19
51	20	18
52	20	18
53	21	18
54	21	17
55	22	17
56	22	16
57	22	16
58	23	16
59	23	15
60	24	15
61	24	15
62	25	14
63	25	14
64	25	13
65	26	13
66	26	13
67	27	12
68	28	12
69	28	12
70	28	11
71	29	11
72	29	11
73	30	10
74	30	10
75	30	9
76	31	9
77	31	8
78	32	8
79	32	8
80	32	7
81	33	7
82	33	6
83	33	6
84	34	6
85	34	5
86	35	5
87	35	4
88	35	4
89	36	4
90	36	3
91	37	3
92	37	2
93	37	2
94	38	2
95	38	1
96	39	1
97	39	0
98	39	0
99	40	0
