iter	Passed	Remaining
0	52	52158
1	53	26507
2	53	17930
3	54	13626
4	55	11091
5	56	9391
6	57	8158
7	58	7217
8	58	6477
9	59	5880
10	63	5743
11	64	5323
12	65	4975
13	66	4680
14	67	4428
15	68	4202
16	69	4000
17	69	3812
18	70	3647
19	71	3502
20	73	3412
21	74	3295
22	74	3180
23	75	3079
24	76	2987
25	77	2896
26	78	2812
27	78	2728
28	79	2651
29	79	2576
30	80	2506
31	80	2442
32	81	2380
33	81	2324
34	82	2269
35	82	2217
36	83	2179
37	85	2162
38	86	2126
39	87	2089
40	88	2069
41	89	2042
42	90	2011
43	91	1982
44	91	1950
45	92	1919
46	93	1892
47	93	1861
48	94	1831
49	94	1803
50	95	1781
51	96	1755
52	97	1733
53	98	1723
54	99	1709
55	100	1690
56	100	1670
57	101	1653
58	102	1638
59	103	1621
60	104	1607
61	105	1589
62	105	1571
63	106	1555
64	106	1537
65	107	1519
66	107	1503
67	108	1486
68	108	1470
69	109	1456
70	110	1443
71	110	1428
72	111	1413
73	113	1416
74	114	1407
75	114	1396
76	115	1385
77	116	1375
78	117	1365
79	117	1356
80	120	1371
81	121	1359
82	121	1345
83	122	1333
84	122	1321
85	123	1310
86	123	1299
87	124	1289
88	124	1277
89	125	1267
90	126	1258
91	127	1256
92	128	1251
93	129	1243
94	129	1236
95	130	1229
96	131	1220
97	131	1213
98	132	1206
99	133	1198
100	133	1188
101	134	1180
102	134	1171
103	134	1162
104	135	1153
105	135	1144
106	136	1136
107	136	1127
108	136	1119
109	137	1112
110	137	1105
111	138	1098
112	138	1089
113	139	1081
114	139	1074
115	140	1067
116	141	1067
117	141	1061
118	142	1054
119	142	1048
120	143	1041
121	143	1035
122	144	1028
123	144	1022
124	145	1015
125	145	1009
126	145	1003
127	146	998
128	147	993
129	147	988
130	148	983
131	148	978
132	149	971
133	149	965
134	149	959
135	150	954
136	150	948
137	150	943
138	151	937
139	151	933
140	152	928
141	152	923
142	153	920
143	155	922
144	155	918
145	156	913
146	156	909
147	157	904
148	157	901
149	158	897
150	158	893
151	159	889
152	159	885
153	160	880
154	160	876
155	161	872
156	161	868
157	162	863
158	162	859
159	163	856
160	163	851
161	163	847
162	164	844
163	165	841
164	165	837
165	166	834
166	166	830
167	167	827
168	167	823
169	167	819
170	168	815
171	168	812
172	169	810
173	170	807
174	170	805
175	171	803
176	172	802
177	173	800
178	173	797
179	174	795
180	175	792
181	175	789
182	176	786
183	176	784
184	177	782
185	178	779
186	178	777
187	179	774
188	179	771
189	180	769
190	180	766
191	181	763
192	181	760
193	182	757
194	183	756
195	184	755
196	184	753
197	185	751
198	186	749
199	186	747
200	187	746
201	188	743
202	188	741
203	189	739
